0,New_Applicant,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
492,1,Male,Yes,0,Graduate,No,5720,0,110,360,Yes,Urban,Y
493,2,Male,Yes,1,Graduate,No,3076,1500,126,360,Yes,Urban,Y
494,3,Male,Yes,2,Graduate,No,5000,1800,208,360,Yes,Urban,Y
495,4,Male,No,0,Not Graduate,No,3276,0,78,360,Yes,Urban,Y
496,5,Male,Yes,0,Not Graduate,Yes,2165,3422,152,360,Yes,Urban,Y
497,6,Female,No,1,Not Graduate,No,2226,0,59,360,Yes,Semiurban,Y
498,7,Male,Yes,2,Not Graduate,No,3881,0,147,360,No,Rural,N
499,8,Male,No,0,Not Graduate,No,2400,2400,123,360,Yes,Semiurban,Y
500,9,Male,No,0,Not Graduate,No,3091,0,90,360,Yes,Urban,Y
501,10,Female,No,0,Graduate,No,4666,0,124,360,Yes,Semiurban,Y
502,11,Male,No,1,Graduate,No,5667,0,131,360,Yes,Urban,Y
503,12,Male,Yes,2,Graduate,No,4583,2916,200,360,Yes,Urban,Y
504,13,Male,Yes,3+,Graduate,No,3786,333,126,360,Yes,Semiurban,Y
505,14,Male,Yes,0,Graduate,No,9226,7916,300,360,Yes,Urban,Y
506,15,Male,No,0,Graduate,No,1300,3470,100,180,Yes,Semiurban,Y
507,16,Male,Yes,1,Not Graduate,No,1888,1620,48,360,Yes,Urban,Y
508,17,Female,No,3+,Not Graduate,No,2083,0,28,180,Yes,Urban,Y
509,18,N/A,No,0,Graduate,No,3909,0,101,360,Yes,Urban,Y
510,19,Female,No,0,Not Graduate,No,3765,0,125,360,Yes,Urban,Y
511,20,Male,Yes,0,Graduate,No,5400,4380,290,360,Yes,Urban,Y
512,21,Male,No,0,Graduate,No,0,24000,148,360,No,Rural,N
513,22,Male,Yes,0,Graduate,No,7500,3750,275,360,Yes,Urban,Y
514,23,Male,No,0,Graduate,No,2942,2382,125,180,Yes,Urban,Y
515,24,Female,No,0,Not Graduate,No,2478,0,75,360,Yes,Semiurban,Y
516,25,Male,Yes,2,Graduate,No,6250,820,192,360,Yes,Urban,Y
517,26,Male,No,0,Graduate,No,3268,1683,152,360,Yes,Semiurban,Y
518,27,Male,Yes,0,Graduate,No,2783,2708,158,360,Yes,Urban,Y
519,28,Male,Yes,0,Graduate,No,2740,1541,101,360,Yes,Urban,Y
520,29,Male,No,0,Graduate,No,3150,0,176,360,No,Semiurban,N
521,30,Male,Yes,0,Graduate,Yes,2267,2792,90,360,Yes,Urban,Y
522,31,Male,No,0,Graduate,Yes,5833,0,116,360,Yes,Urban,Y
523,32,Male,No,0,Graduate,No,3643,1963,138,360,Yes,Urban,Y
524,33,Male,Yes,0,Graduate,No,5629,818,100,360,Yes,Urban,Y
525,34,Female,No,0,Graduate,No,3644,0,110,360,Yes,Urban,Y
526,35,Male,Yes,0,Not Graduate,No,1750,2024,90,360,Yes,Semiurban,Y
527,36,Male,No,0,Graduate,No,6500,2600,200,360,Yes,Semiurban,Y
528,37,Female,No,0,Graduate,No,3666,0,84,360,Yes,Urban,Y
529,38,Male,No,0,Not Graduate,No,2356,1902,108,360,Yes,Semiurban,Y
530,39,Male,Yes,3+,Not Graduate,Yes,8000,250,187,360,Yes,Semiurban,Y
531,40,Male,Yes,1,Graduate,No,2419,1707,124,360,Yes,Urban,Y
532,41,N/A,Yes,3+,Not Graduate,No,3500,833,120,360,Yes,Semiurban,Y
533,42,Male,Yes,1,Graduate,No,3500,3077,160,360,Yes,Semiurban,Y
534,43,Male,Yes,2,Graduate,No,4116,1000,30,180,Yes,Urban,Y
535,44,Male,Yes,0,Not Graduate,Yes,5293,0,92,360,Yes,Urban,Y
536,45,Male,No,0,Graduate,No,2750,0,130,360,No,Urban,N
537,46,Female,No,0,Not Graduate,No,4402,0,130,360,Yes,Rural,Y
538,47,Male,Yes,2,Graduate,No,3613,3539,134,180,Yes,Semiurban,Y
539,48,Female,Yes,2,Graduate,No,2779,3664,176,360,No,Semiurban,N
540,49,Male,Yes,3+,Graduate,No,4720,0,90,180,Yes,Semiurban,Y
541,50,Male,Yes,0,Not Graduate,No,2415,1721,110,360,Yes,Semiurban,Y
542,51,Male,Yes,0,Graduate,Yes,7016,292,125,360,Yes,Urban,Y
543,52,Female,No,2,Graduate,No,4968,0,189,360,Yes,Semiurban,Y
544,53,Female,No,0,Graduate,No,2101,1500,108,360,No,Rural,N
545,54,Male,Yes,3+,Not Graduate,No,4490,0,125,360,Yes,Urban,Y
546,55,Male,Yes,0,Graduate,No,2917,3583,138,360,Yes,Semiurban,Y
547,56,Male,Yes,0,Not Graduate,No,4700,0,135,360,No,Semiurban,N
548,57,Male,Yes,0,Graduate,No,3445,0,130,360,No,Semiurban,N
549,58,Male,Yes,0,Graduate,No,7666,0,187,360,Yes,Semiurban,Y
550,59,Male,Yes,0,Graduate,No,2458,5105,188,360,No,Rural,N
551,60,Male,No,0,Graduate,No,4463,0,65,360,Yes,Semiurban,Y
552,61,Male,Yes,0,Graduate,Yes,3900,2094,232,360,Yes,Rural,Y
553,62,Male,Yes,0,Not Graduate,No,4750,3583,144,360,Yes,Semiurban,Y
554,63,Male,No,0,Graduate,No,3583,3435,155,360,Yes,Urban,Y
555,64,Male,Yes,0,Graduate,No,3189,2367,186,360,Yes,Urban,Y
556,65,Male,No,0,Graduate,Yes,6356,0,50,360,Yes,Rural,Y
557,66,Female,Yes,0,Graduate,No,7950,0,185,360,Yes,Urban,Y
558,67,Male,Yes,3+,Graduate,No,3829,1103,163,360,No,Urban,N
559,68,Male,Yes,3+,Graduate,No,72529,0,360,360,Yes,Urban,Y
560,69,Male,Yes,2,Not Graduate,No,4136,0,149,480,No,Rural,N
561,70,Male,Yes,0,Graduate,No,8449,0,257,360,Yes,Rural,Y
562,71,Male,Yes,0,Graduate,No,4456,0,131,180,No,Semiurban,N
563,72,Male,Yes,2,Graduate,No,4635,8000,102,180,Yes,Rural,Y
564,73,Male,Yes,0,Graduate,No,3571,1917,135,360,Yes,Urban,Y
565,74,Male,No,0,Graduate,No,3066,0,95,360,Yes,Semiurban,Y
566,75,Male,No,2,Not Graduate,No,3235,2015,77,360,Yes,Semiurban,Y
567,76,Male,Yes,3+,Graduate,No,13518,0,390,360,Yes,Rural,Y
568,77,Male,Yes,1,Graduate,No,4364,2500,185,360,Yes,Semiurban,Y
569,78,Male,Yes,2,Not Graduate,No,4766,1646,100,360,Yes,Semiurban,Y
570,79,Male,Yes,1,Graduate,No,4609,2333,123,360,No,Semiurban,N
571,80,Female,Yes,3+,Graduate,No,6260,0,110,360,Yes,Semiurban,Y
572,81,Male,Yes,1,Graduate,No,3333,4200,256,360,Yes,Urban,Y
573,82,Male,Yes,0,Graduate,No,3500,3250,140,360,Yes,Semiurban,Y
574,83,Male,Yes,3+,Graduate,No,9719,0,61,360,Yes,Urban,Y
575,84,Male,No,0,Graduate,No,4452,0,131,360,Yes,Rural,Y
576,85,Male,Yes,1,Graduate,No,3901,0,116,360,Yes,Urban,Y
577,86,Male,Yes,2,Not Graduate,No,2687,0,50,180,Yes,Rural,Y
578,87,Female,Yes,0,Graduate,No,3417,1287,200,360,Yes,Semiurban,Y
579,88,N/A,No,0,Graduate,No,1596,1760,119,360,No,Urban,N
580,89,Male,Yes,3+,Graduate,No,4513,0,120,360,Yes,Rural,Y
581,90,Male,Yes,0,Graduate,No,4500,0,140,360,Yes,Semiurban,Y
582,91,Male,Yes,0,Not Graduate,No,4523,1350,165,360,Yes,Urban,Y
583,92,Female,No,0,Graduate,Yes,4742,0,108,360,Yes,Semiurban,Y
584,93,Female,No,0,Graduate,No,3417,0,102,360,Yes,Urban,Y
585,94,Female,Yes,2,Graduate,No,2922,3396,122,360,Yes,Semiurban,Y
586,95,Male,Yes,0,Graduate,No,4167,4754,160,360,Yes,Rural,Y
587,96,Female,No,0,Not Graduate,No,0,1760,180,360,Yes,Semiurban,Y
588,97,Female,No,0,Graduate,No,1762,2666,104,360,No,Urban,N
589,98,Male,Yes,2,Graduate,No,724,3510,213,360,No,Rural,N
590,99,Male,No,0,Graduate,No,3125,0,65,360,Yes,Urban,Y
591,100,Male,Yes,0,Graduate,No,2333,3803,146,360,Yes,Rural,Y
592,101,Male,Yes,3+,Graduate,No,3350,1560,135,360,Yes,Urban,Y
593,102,Male,No,0,Graduate,No,2500,6414,187,360,No,Rural,N
594,103,Female,No,0,Graduate,No,12500,0,300,360,No,Urban,N
595,104,Male,No,0,Graduate,No,4667,0,120,360,Yes,Semiurban,Y
596,105,Male,No,0,Graduate,No,6500,0,71,360,No,Urban,N
597,106,Male,Yes,2,Graduate,No,7500,0,225,360,Yes,Urban,Y
598,107,Male,No,0,Graduate,No,3073,0,70,180,Yes,Urban,Y
599,108,Male,Yes,0,Graduate,No,3333,1270,124,360,Yes,Urban,Y
600,109,Male,No,0,Graduate,No,3391,0,132,360,Yes,Rural,Y
601,110,Male,Yes,1,Graduate,Yes,3343,1517,105,360,Yes,Rural,Y
602,111,Female,No,1,Graduate,No,3620,0,90,360,Yes,Urban,Y
603,112,Male,No,0,Graduate,No,4000,0,83,84,Yes,Urban,Y
604,113,Male,Yes,0,Graduate,No,4258,0,125,360,Yes,Urban,Y
605,114,Male,Yes,2,Graduate,No,4500,0,147,360,Yes,Rural,Y
606,115,Male,Yes,1,Graduate,No,2014,2925,120,360,Yes,Rural,Y
607,116,Male,No,0,Graduate,No,4727,0,150,360,No,Rural,N
608,117,Male,Yes,3+,Graduate,No,3089,2999,100,240,Yes,Rural,Y
609,118,Male,Yes,2,Graduate,Yes,10890,0,260,12,Yes,Rural,Y
610,119,Female,No,0,Graduate,No,12941,0,150,300,Yes,Urban,Y
611,120,Male,No,0,Not Graduate,No,3276,0,90,360,Yes,Semiurban,Y
612,121,Male,No,0,Not Graduate,Yes,8703,0,199,360,No,Rural,N
613,122,Male,Yes,1,Graduate,No,4742,717,139,360,Yes,Semiurban,Y
614,123,Male,No,0,Graduate,No,5900,0,150,360,Yes,Urban,Y
615,124,Male,No,0,Graduate,No,3071,4309,180,360,Yes,Urban,Y
616,125,Male,Yes,0,Graduate,No,2783,1456,113,360,Yes,Urban,Y
617,126,Male,No,0,Graduate,No,5000,0,148,360,Yes,Rural,Y
618,127,Male,Yes,1,Not Graduate,No,2463,2360,117,360,No,Urban,N
619,128,Male,Yes,2,Graduate,No,4855,0,72,360,Yes,Rural,Y
620,129,Male,No,0,Not Graduate,Yes,1599,2474,125,300,Yes,Semiurban,Y
621,130,Male,Yes,2,Graduate,Yes,4246,4246,214,360,Yes,Urban,Y
